R00005	R00005	urea-1-carboxylate amidohydrolase; Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
R09959	R09959	7,8-dihydroneopterin 3'-triphosphate acetaldehyde-lyase (6-carboxy-5,6,7,8-tetrahydropterin and triphosphate-forming); 7,8-Dihydroneopterin 3'-triphosphate + H2O <=> 6-Carboxy-5,6,7,8-tetrahydropterin + Acetaldehyde + Triphosphate
R09972	R09972	geranyl-diphosphate diphosphate-lyase [cyclizing, (-)-camphene-forming]; Geranyl diphosphate <=> (-)-Camphene + Diphosphate
R09977	R09977	2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate isomerase; 2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate <=> 2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate
R09978	R09978	7-carboxy-7-carbaguanine:ammonia ligase (ADP-forming); 7-Carboxy-7-carbaguanine + Ammonia + ATP <=> 7-Cyano-7-carbaguanine + ADP + Orthophosphate + H2O
R09979	R09979	(2S)-ethylmalonyl-CoA epimerase; (2S)-Ethylmalonyl-CoA <=> (2R)-Ethylmalonyl-CoA
R09980	R09980	Ureidoacrylate amidohydrolase; Ureidoacrylate + H2O <=> Aminoacrylate + Carbamate
R09982	R09982	(Z)-3-Peroxyaminoacrylate <=> Aminoacrylate
R09983	R09983	Aminoacrylate + H2O <=> 3-Oxopropanoate + Ammonia
R09989	R09989	L-threo-7,8-dihydrobiopterin:NADP+ oxidoreductase; L-threo-7,8-Dihydrobiopterin + NADP+ <=> Sepiapterin + NADPH + H+
R09990	R09990	L-threo-tetrahydrobiopterin:NADP+ oxidoreductase; L-threo-Tetrahydrobiopterin + 2 NADP+ <=> 6-Pyruvoyltetrahydropterin + 2 NADPH + 2 H+
R09991	R09991	peptidyl-glutamate 4-carboxylase (menaquinone-epoxidizing); 2,3-Epoxymenaquinone + Gla protein + H2O <=> Menaquinol + Gla protein precursor + CO2 + Oxygen
R09992	R09992	menaquinone:oxidized-dithiothreitol oxidoreductase; 2,3-Epoxymenaquinone + Dithiothreitol <=> Menaquinone + Oxidized dithiothreitol + H2O
R09993	R09993	4-amino-5-aminomethyl-2-methylpyrimidine aminohydrolase; 4-Amino-5-aminomethyl-2-methylpyrimidine + H2O <=> 4-Amino-5-hydroxymethyl-2-methylpyrimidine + Ammonia
R09994	R09994	alpha-maltose 1-phosphate:(1->4)-alpha-D-glucan 4-alpha-D-maltosyltransferase; alpha-Maltose 1-phosphate + Amylose(n) <=> Orthophosphate + Amylose(n+2)
R09995	R09995	Starch <=> alpha,alpha-Trehalose
R09997	R09997	methanethiol:coenzyme M methyltransferase; Methanethiol + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Hydrogen sulfide
R09998	R09998	methylamine:coenzyme M methyltransferase; Methylamine + Coenzyme M <=> Ammonia + 2-(Methylthio)ethanesulfonate
R09999	R09999	dimethylamine:coenzyme M methyltransferase; Dimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Methylamine
R10000	R10000	[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase; Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein
R10002	R10002	6-carboxy-5,6,7,8-tetrahydropterin ammonia-lyase; 6-Carboxy-5,6,7,8-tetrahydropterin <=> 7-Carboxy-7-carbaguanine + Ammonia
R10009	R10009	all-trans-heptaprenyl-diphosphate diphosphate-lyase (cyclizing, tetraprenyl-beta-curcumene-forming); all-trans-Heptaprenyl diphosphate <=> Tetraprenyl-beta-curcumene + Diphosphate
R10010	R10010	L-lysine carboxy-aminomethylmutase; L-Lysine <=> (2R,3R)-3-Methylornithine
R10011	R10011	L-Lysine + (2R,3R)-3-Methylornithine + ATP <=> (2R,3R)-3-Methylornithinyl-N6-lysine + Products of ATP breakdown
R10012	R10012	(2R,3R)-3-Methylornithinyl-N6-lysine + NAD+ + H2O <=> (2R,3R)-3-Methylglutamyl-5-semialdehyde-N6-lysine + Ammonia + NADH + H+
R10014	R10014	methylamine:[Co(I) corrinoid protein] Co-methyltransferase; Methylamine + Co(I) corrinoid protein <=> Ammonia + Methyl-Co(III) corrinoid protein
R10015	R10015	dimethylamine:[Co(I) corrinoid protein] Co-methyltransferase; Dimethylamine + Co(I) corrinoid protein <=> Methylamine + Methyl-Co(III) corrinoid protein
R10016	R10016	trimethylamine:[Co(I) corrinoid protein] Co-methyltransferase; Trimethylamine + Co(I) corrinoid protein <=> Dimethylamine + Methyl-Co(III) corrinoid protein
R10027	R10027	L-isoleucine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating); L-Isoleucine + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> N-Hydroxy-L-isoleucine + [Oxidized NADPH---hemoprotein reductase] + H2O
R10028	R10028	N-hydroxy-L-isoleucine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating); N-Hydroxy-L-isoleucine + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> N,N-Dihydroxy-L-isoleucine + [Oxidized NADPH---hemoprotein reductase] + H2O
R10029	R10029	N,N-Dihydroxy-L-isoleucine <=> (E)-2-Methylbutanal oxime + CO2 + H2O
R10031	R10031	L-valine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating); L-Valine + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> N-Hydroxy-L-valine + [Oxidized NADPH---hemoprotein reductase] + H2O
R10032	R10032	N-hydroxy-L-valine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating); N-Hydroxy-L-valine + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> N,N-Dihydroxy-L-valine + [Oxidized NADPH---hemoprotein reductase] + H2O
R10033	R10033	N,N-Dihydroxy-L-valine <=> (E)-2-Methylpropanal oxime + CO2 + H2O
R10035	R10035	beta-D-glucoside glucohydrolase; Dhurrin + H2O <=> (S)-4-Hydroxymandelonitrile + beta-D-Glucose
R10039	R10039	beta-D-glucoside glucohydrolase; Lotaustralin + H2O <=> (2R)-2-Hydroxy-2-methylbutanenitrile + beta-D-Glucose
R10040	R10040	beta-D-glucoside glucohydrolase; Linamarin + H2O <=> Acetone cyanohydrin + beta-D-Glucose
R10041	R10041	(E)-Phenylacetaldoxime <=> (Z)-Phenylacetaldehyde oxime
R10042	R10042	benzene,NADH:oxygen oxidoreductase; Benzene + Oxygen + NADH + H+ <=> Phenol + NAD+ + H2O
R10043	R10043	phenol,NADH:oxygen oxidoreductase (2-hydroxylating); Phenol + Oxygen + NADH + H+ <=> Catechol + NAD+ + H2O
R10046	R10046	nicotinate D-ribonucleoside ribohydrolase; Nicotinate D-ribonucleoside + H2O <=> Nicotinate + D-Ribose
R10049	R10049	2-oxopropanal:D-fructose 1,6-bisphosphate glycerone-phosphotransferase; Methylglyoxal + D-Fructose 1,6-bisphosphate <=> D-Glyceraldehyde 3-phosphate + 6-Deoxy-5-ketofructose 1-phosphate
R10050	R10050	2-oxopropanal:D-fructose 1-phosphate glycerone-phosphotransferase; Methylglyoxal + D-Fructose 1-phosphate <=> D-Glyceraldehyde + 6-Deoxy-5-ketofructose 1-phosphate
R10052	R10052	(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase; (2R,3S)-3-Isopropylmalate + NAD+ <=> 4-Methyl-2-oxopentanoate + CO2 + NADH + H+
R10053	R10053	L-gulono-1,4-lactone:oxygen 3-oxidoreductase; L-Gulono-1,4-lactone + Oxygen <=> Ascorbate + Hydrogen peroxide
R10055	R10055	violaxanthin:ascorbate oxidoreductase; Violaxanthin + 2 Ascorbate <=> Zeaxanthin + 2 Dehydroascorbate + 2 H2O
R10056	R10056	protein-N6,N6-dimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase; Protein N6,N6-dimethyl-L-lysine + 2 2-Oxoglutarate + 2 Oxygen <=> Protein lysine + 2 Succinate + 2 Formaldehyde + 2 CO2
R10057	R10057	4,4-dimethyl-5alpha-cholest-7-en-3beta-ol,ferrocytochrome-b5:oxygen oxidoreductase (hydroxylating); 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate + 6 Ferricytochrome b5 + 4 H2O
R10060	R10060	S-adenosyl-L-methionine:glycine N-methyltransferase [N,N-dimethylglycine-forming]; 2 S-Adenosyl-L-methionine + Glycine <=> 2 S-Adenosyl-L-homocysteine + N,N-Dimethylglycine
R10061	R10061	S-adenosyl-L-methionine:sarcosine N-methyltransferase [betaine-forming]; 2 S-Adenosyl-L-methionine + Sarcosine <=> 2 S-Adenosyl-L-homocysteine + Betaine
R10065	R10065	ATP:1D-myo-inositol-1,4,5-trisphosphate 3,6-phosphotransferase; 2 ATP + D-myo-Inositol 1,4,5-trisphosphate <=> 2 ADP + 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
R10066	R10066	ent-kaur-16-ene,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (hydroxylating); ent-Kaurene + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Kaur-16-en-18-oic acid + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O
R10067	R10067	ent-kaur-16-en-19-oate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (hydroxylating); Kaur-16-en-18-oic acid + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Gibberellin A12 + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O
R10068	R10068	magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating); Magnesium protoporphyrin monomethyl ester + 3 NADPH + 3 H+ + 3 Oxygen <=> Divinylprotochlorophyllide + 3 NADP+ + 5 H2O
R10070	R10070	zeaxanthin,NADH:oxygen oxidoreductase; Zeaxanthin + 4 Reduced ferredoxin + 4 H+ + 2 Oxygen <=> Violaxanthin + 4 Oxidized ferredoxin + 2 H2O
R10072	R10072	(+)-epi-isozizaene,NADPH:oxygen oxidoreductase (5-hydroxylating); (+)-epi-Isozizaene + 2 NADPH + 2 H+ + 2 Oxygen <=> Albaflavenone + 2 NADP+ + 3 H2O
R10073	R10073	(-)-vetispiradiene,[reduced NADPH---hemoprotein reductase]:oxygen 2alpha-oxidoreductase; Vetispiradiene + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> Solavetivone + 2 [Oxidized NADPH---hemoprotein reductase] + 3 H2O
R10074	R10074	glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase; Glutaryl-CoA + Electron-transferring flavoprotein <=> Glutaconyl-1-CoA + Reduced electron-transferring flavoprotein
R10079	R10079	carbamate hydro-lyase; cyanate hydratase; Cyanate + HCO3- + H+ <=> Ammonia + 2 CO2
R10080	R10080	chlorophyllide-a oxygenase; Chlorophyllide + 2 Oxygen + 2 NADPH + 2 H+ <=> Chlorophyllide b + 3 H2O + 2 NADP+
R10086	R10086	L-glutamate:ferredoxin oxidoreductase (deaminating); L-Glutamate + 2 Oxidized ferredoxin + H2O <=> Ammonia + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+
R10090	R10090	citrate:N6-acetyl-N6-hydroxy-L-lysine ligase (AMP-forming); Citrate + N6-Acetyl-N6-hydroxy-L-lysine + ATP <=> N2-Citryl-N6-acetyl-N6-hydroxy-L-lysine + AMP + Diphosphate
R10091	R10091	N2-citryl-N6-acetyl-N6-hydroxy-L-lysine:N6-acetyl-N6-hydroxy-L-lysine ligase (AMP-forming); N2-Citryl-N6-acetyl-N6-hydroxy-L-lysine + N6-Acetyl-N6-hydroxy-L-lysine + ATP <=> Aerobactin + AMP + Diphosphate
R10092	R10092	carbonate hydro-lyase (carbon-dioxide-forming); HCO3- + H+ <=> CO2 + H2O
R10093	R10093	ATP:isopentenyl phosphate phosphotransferase; ATP + Isopentenyl phosphate <=> ADP + Isopentenyl diphosphate
R10095	R10095	trans,octacis-decaprenylphospho-beta-D-ribofuranose 5-phosphate:diphosphate phospho-alpha-D-ribosyltransferase; Decaprenol phosphate + 5-Phospho-alpha-D-ribose 1-diphosphate <=> trans,octacis-Decaprenylphospho-beta-D-ribofuranose 5-phosphate + Diphosphate
R10099	R10099	acetyl-CoA:UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine N-acetyltransferase; acetyl-CoA:UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose 4-N-acetyltransferase; UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose + Acetyl-CoA <=> UDP-N,N'-Diacetylbacillosamine + CoA
R10100	R10100	acetyl-CoA:UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate 3-N-acetyltransferase; Acetyl-CoA + UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate <=> CoA + UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate
R10101	R10101	4-methylaminobutanoate methylamidohydrolase; 4-methylaminobutanoate:oxygen oxidoreductase (methylamine-forming); 4-Methylaminobutyrate + Oxygen + H2O <=> Succinate semialdehyde + Methylamine + Hydrogen peroxide
R10102	R10102	4-methylaminobutanoate:oxygen oxidoreductase (formaldehyde-forming); 4-methylaminobutanoate:oxygen oxidoreductase (demethylating); 4-Methylaminobutyrate + Oxygen + H2O <=> 4-Aminobutanoate + Formaldehyde + Hydrogen peroxide
R10103	R10103	4-(methylamino)-1-(pyridin-3-yl)butan-1-one:oxygen oxidoreductase (methylamine releasing); Pseudooxynicotine + H2O + Oxygen <=> 4-Oxo-1-(3-pyridyl)-1-butanone + Methylamine + Hydrogen peroxide
R10105	R10105	4-oxo-4-(pyridin-3-yl)butanal:NADP+ oxidoreductase; 4-Oxo-1-(3-pyridyl)-1-butanone + NADP+ + H2O <=> 3-Succinoylpyridine + NADPH + H+
R10115	R10115	malonyl-[acyl-carrier protein]-methyl-ester:malonyl-[acyl-carrier protein] C-acyltransferase; Malonyl-[acp] methyl ester + Malonyl-[acyl-carrier protein] <=> 3-Ketoglutaryl-[acp] methyl ester + CO2 + Acyl-carrier protein
R10116	R10116	3-hydroxyglutaryl-[acp]-methyl-ester:NADP+ oxidoreductase; 3-Ketoglutaryl-[acp] methyl ester + NADPH + H+ <=> 3-Hydroxyglutaryl-[acp] methyl ester + NADP+
R10117	R10117	3-hydroxyglutaryl-[acp]-methyl-ester hydro-lyase; 3-Hydroxyglutaryl-[acp] methyl ester <=> Enoylglutaryl-[acp] methyl ester + H2O
R10118	R10118	glutaryl-[acp]-methyl-ester:NADP+ oxidoreductase; Enoylglutaryl-[acp] methyl ester + NADPH + H+ <=> Glutaryl-[acp] methyl ester + NADP+
R10119	R10119	glutaryl-[acp]-methyl-ester:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating); Glutaryl-[acp] methyl ester + Malonyl-[acyl-carrier protein] <=> 3-Ketopimeloyl-[acp] methyl ester + CO2 + Acyl-carrier protein
R10120	R10120	3-hydroxypimeloyl-[acp]-methyl-ester:NADP+ oxidoreductase; 3-Ketopimeloyl-[acp] methyl ester + NADPH + H+ <=> 3-Hydroxypimeloyl-[acp] methyl ester + NADP+
R10121	R10121	3-hydroxypimeloyl-[acp]-methyl-ester hydro-lyase; 3-Hydroxypimeloyl-[acp] methyl ester <=> Enoylpimeloyl-[acp] methyl ester + H2O
R10122	R10122	pimelyl-[acyl-carrier protein]-methyl-ester:NADP+ oxidoreductase; Enoylpimeloyl-[acp] methyl ester + NADPH + H+ <=> Pimeloyl-[acyl-carrier protein] methyl ester + NADP+
R10123	R10123	acyl-[acyl-carrier protein],reduced-flavodoxin:oxygen oxidoreductase (pimeloyl-[acyl-carrier protein] forming); Long-chain acyl-[acyl-carrier protein] + 2 Reduced flavodoxin + 3 Oxygen <=> Pimeloyl-[acyl-carrier protein] + n-Alkanal + 2 Oxidized flavodoxin + 3 H2O
R10124	R10124	pimeloyl-[acyl-carrier protein]:L-alanine C-pimeloyltransferase (decarboxylating); Pimeloyl-[acyl-carrier protein] + L-Alanine <=> 8-Amino-7-oxononanoate + Acyl-carrier protein + CO2
R10125	R10125	beta-Citronellol + NAD+ <=> (R)-(+)-Citronellal + NADH + H+
R10126	R10126	(-)-Citronellol + NAD+ <=> (S)-(-)-Citronellal + NADH + H+
R10127	R10127	biotin:NADP+ S-oxidoreductase (biotin S-oxide-forming); Biotin sulfoxide + NADPH + H+ <=> Biotin + NADP+ + H2O
R10131	R10131	3,3'-bipyridine-2,2',5,5',6,6'-hexol:NAD+ 11-oxidoreductase; 3,3'-Bipyridine-2,2',5,5',6,6'-hexol + NAD+ <=> Blue pigment + NADH + H+
R10132	R10132	3,3'-bipyridine-2,2',5,5',6,6'-hexol:NADP+ 11-oxidoreductase; 3,3'-Bipyridine-2,2',5,5',6,6'-hexol + NADP+ <=> Blue pigment + NADPH + H+
R10136	R10136	vanillate:tetrahydrofolate O-methyltransferase; Vanillate + Tetrahydrofolate <=> 3,4-Dihydroxybenzoate + 5-Methyltetrahydrofolate
R10138	R10138	G00164 + UDP-D-glucuronate <=> G00165 + UDP
R10139	R10139	G00165 + UDP-N-acetyl-D-glucosamine <=> G13062 + UDP
R10140	R10140	UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate:NAD+ 3-oxidoreductase; UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate + NAD+ <=> UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate + NADH + H+
R10141	R10141	UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate:2-oxoglutarate aminotransferase; UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate + L-Glutamate <=> UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate + 2-Oxoglutarate
R10146	R10146	Sulfite + 3 NADH + 3 H+ <=> Hydrogen sulfide + 3 NAD+ + 3 H2O
R10147	R10147	L-aspartate-4-semialdehyde hydro-lyase [adding pyruvate and cyclizing; (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate-forming]; L-Aspartate 4-semialdehyde + Pyruvate <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O
R10149	R10149	Thiosulfate + Menaquinol <=> HSO3- + Hydrogen sulfide + Menaquinone
R10150	R10150	Tetrathionate + 2 e- <=> 2 Thiosulfate
R10151	R10151	Thiosulfate + 5 H2O + 8 Ferricytochrome c <=> 2 Sulfate + 8 Ferrocytochrome c + 10 H+
R10152	R10152	sulfide:quinone oxidoreductase; n Hydrogen sulfide + n Quinone <=> Polysulfide + n Hydroquinone
R10158	R10158	1-deoxypentalenate,reduced ferredoxin:oxygen oxidoreductase; 1-Deoxypentalenate + Reduced ferredoxin + Oxygen <=> Pentalenate + Oxidized ferredoxin + H2O
R10159	R10159	adrenodoxin:NADP+ oxidoreductase; 2 Reduced adrenal ferredoxin + NADP+ + H+ <=> 2 Oxidized adrenal ferredoxin + NADPH
R10162	R10162	pentalenolactone-reduced-ferredoxin:oxygen oxidoreductase (pentalenolactone forming); Pentalenolactone F + Oxygen + 2 Reduced ferredoxin + 2 H+ <=> Pentalenolactone + 2 Oxidized ferredoxin + 2 H2O
R10164	R10164	hydroxylamine:ferricytochrome-c oxidoreductase; Hydroxylamine + H2O + 4 Ferricytochrome c <=> Nitrite + 4 Ferrocytochrome c + 5 H+
R10170	R10170	(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming); (2R,3S)-3-Isopropylmalate <=> alpha-Isopropylmalate
R10177	R10177	geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase (15-cis-phytoene forming); 2 Geranylgeranyl diphosphate <=> 15-cis-Phytoene + 2 Diphosphate
R10178	R10178	4-aminobutanoate:pyruvate aminotransferase; 4-Aminobutanoate + Pyruvate <=> Succinate semialdehyde + L-Alanine
R10180	R10180	L-tryptophan:pyruvate aminotransferase; L-Tryptophan + Pyruvate <=> Indolepyruvate + L-Alanine
R10181	R10181	indole-3-pyruvate,NADPH:oxygen oxidoreductase (1-hydroxylating, decarboxylating); Indolepyruvate + NADPH + H+ + Oxygen <=> Indole-3-acetate + NADP+ + H2O + CO2
R10182	R10182	CTP:N,N'-diacetyllegionaminate cytidylyltransferase; CTP + N,N'-Diacetyllegionaminate <=> CMP-N,N'-diacetyllegionaminate + Diphosphate
R10184	R10184	UDP-N,N'-diacetylbacillosamine:tritrans,heptacis-undecaprenyl-phosphate N,N'-diacetylbacillosamine transferase; UDP-N,N'-Diacetylbacillosamine + tritrans,heptacis-Undecaprenyl phosphate <=> UMP + N,N'-Diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol
R10185	R10185	ATP:methylphosphonate 5-triphosphoribosyltransferase; ATP + Methylphosphonate <=> alpha-D-Ribose 1-methylphosphonate 5-triphosphate + Adenine
R10186	R10186	alpha-D-ribose-1-methylphosphonate-5-triphosphate diphosphohydrolase; alpha-D-Ribose 1-methylphosphonate 5-triphosphate + H2O <=> alpha-D-Ribose 1-methylphosphonate 5-phosphate + Diphosphate
R10187	R10187	UDP-N,N'-diacetylbacillosamine hydrolase (2-epimerising); UDP-N,N'-Diacetylbacillosamine + H2O <=> UDP + 2,4-Diacetamido-2,4,6-trideoxy-D-mannopyranose
R10188	R10188	UDP-N-acetyl-alpha-D-galactosamine:N,N'-diacetyl-alpha-D-bacillosaminyl-diphospho-tritrans,heptacis-undecaprenol 3-alpha-N-acetyl-D-galactosaminyltransferase; UDP-N-acetyl-D-galactosamine + N,N'-Diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol <=> UDP + N-Acetyl-D-galactosaminyl-alpha-(1->3)-N,N'-diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol
R10190	R10190	dTDP-6-deoxy-beta-L-talose:NAD+ 4-oxidoreductase; dTDP-6-deoxy-beta-L-talose + NAD+ <=> dTDP-4-dehydro-beta-L-rhamnose + NADH + H+
R10191	R10191	2-hydroxyethylphosphonate:O2 1,2-oxidoreductase (methylphosphonate forming); 2-Hydroxyethylphosphonate + Oxygen <=> Methylphosphonate + HCO3-
R10203	R10203	Dimethyl sulfone + 2 Reduced FMN + 2 Oxygen <=> Methanesulfonic acid + Formaldehyde + 2 FMN + 2 H2O
R10204	R10204	alpha-D-ribose-1-methylphosphonate-5-phosphate C-P-lyase (methane forming); alpha-D-Ribose 1-methylphosphonate 5-phosphate + S-Adenosyl-L-methionine + Reduced acceptor <=> alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate + Methane + L-Methionine + 5'-Deoxyadenosine + Acceptor
R10205	R10205	5-phospho-alpha-D-ribose 1,2-cyclic phosphate 2-phosphohydrolase (alpha-D-ribose 1,5-bisphosphate-forming); alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate + H2O <=> D-Ribose 1,5-bisphosphate
R10206	R10206	methanesulfonate,FMNH2:oxygen oxidoreductase; Methanesulfonic acid + Reduced FMN + Oxygen <=> FMN + Sulfite + H2O + Formaldehyde
R10209	R10209	tRNA-guanosine34:7-aminomethyl-7-carbaguanine tRNA-D-ribosyltransferase; tRNA guanine + 7-Aminomethyl-7-carbaguanine <=> tRNA 7-aminomethyl-7-carbaguanine + Guanine
R10210	R10210	2-Oxoglutaryl-CoA + H2O <=> 2-Oxoglutarate + CoA
R10212	R10212	Furfural + H2O + Oxygen <=> 2-Furoate + Hydrogen peroxide
R10213	R10213	2,5-Furandicarboxylate <=> 2-Furoate + CO2
R10216	R10216	5-Hydroxymethyl-2-furaldehyde + H2O + Oxygen <=> 5-Hydroxymethyl-2-furoate + Hydrogen peroxide
R10219	R10219	Acetyl-CoA + Tetrahydrosarcinapterin <=> CoA + 5-Methyl-H4SPT + CO
R10221	R10221	6-phospho-D-gluconate:NAD+ 2-oxidoreductase (decarboxylating); 6-Phospho-D-gluconate + NAD+ <=> D-Ribulose 5-phosphate + CO2 + NADH + H+
R10223	R10223	tRNA(adenine34) aminohydrolase; tRNA adenine + H2O <=> tRNA hypoxanthine + Ammonia
R10224	R10224	norsolorinic acid anthrone:oxygen 9-oxidoreductase (norsolorinic acid-forming); Norsolorinic acid anthrone + Oxygen <=> Norsolorinic acid + H2O
R10231	R10231	tRNA(Ala)-adenine37 aminohydrolase; tRNA(Ala) adenine + H2O <=> tRNA(Ala) hypoxanthine + Ammonia
R10233	R10233	4-coumaroyl-CoA:malonyl-CoA 4-coumaryltransferase (bisdemethoxycurcumin-forming); 2 p-Coumaroyl-CoA + Malonyl-CoA + H2O <=> 3 CoA + Bisdemethoxycurcumin + 2 CO2
R10235	R10235	deoxyinosine diphosphate phosphatase; dIDP + H2O <=> 2'-Deoxyinosine 5'-phosphate + Orthophosphate
R10239	R10239	malonyl-CoA:hexanoate malonyltransferase (norsolorinic acid anthrone-forming); 7 Malonyl-CoA + Hexanoyl-[acp] <=> 7 CoA + Norsolorinic acid anthrone + Acyl-carrier protein + 7 CO2 + 2 H2O
R10242	R10242	5alpha-androstane-3,17-dione:NADP+ delta4-oxidoreductase; 5alpha-Androstane-3,17-dione + NADP+ <=> Androstenedione + NADPH + H+
R10243	R10243	Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO
R10244	R10244	purine-deoxynucleoside:phosphate ribosyltransferase; Purine deoxyribonucleoside + Orthophosphate <=> Purine + 2-Deoxy-D-ribose 1-phosphate
R10246	R10246	L-tyrosine 4-methylphenol-lyase (2-iminoacetate-forming); L-Tyrosine + S-Adenosyl-L-methionine + Reduced acceptor <=> Iminoglycine + 4-Cresol + 5'-Deoxyadenosine + L-Methionine + Acceptor
R10247	R10247	1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase; 1-Deoxy-D-xylulose 5-phosphate + Iminoglycine + Thiocarboxy-[sulfur-carrier protein] <=> 2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + Sulfur-carrier protein + 2 H2O
R10255	R10255	CDP-2,3-bis-O-(geranylgeranyl)-sn-glycerol:L-serine 2,3-bis-O-(geranylgeranyl)-sn-glycerol phosphotransferase; CDP-2,3-bis-O-(geranylgeranyl)-sn-glycerol + L-Serine <=> CMP + 2,3-Bis-O-(geranylgeranyl)-sn-glycero-1-phospho-L-serine
R10258	R10258	quercetin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase; Quercetin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Myricetin + [Oxidized NADPH---hemoprotein reductase] + H2O
R10260	R10260	luteolin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase; Luteolin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Tricetin + [Oxidized NADPH---hemoprotein reductase] + H2O
R10270	R10270	(5R)-5-phosphooxy-L-lysine phosphate-lyase (deaminating; (S)-2-amino-6-oxohexanoate-forming); 5-Phosphooxy-L-lysine + H2O <=> L-2-Aminoadipate 6-semialdehyde + Ammonia + Orthophosphate
R10273	R10273	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, (E)-2-epi-beta-caryophyllene-forming); trans,trans-Farnesyl diphosphate <=> (E)-2-epi-beta-Caryophyllene + Diphosphate
R10279	R10279	dTDP-6-deoxy-beta-L-talose 4-epimerase; dTDP-6-deoxy-beta-L-talose <=> dTDP-L-rhamnose
R10282	R10282	beta-carotene 9-cis-all-trans isomerase; beta-Carotene <=> 9-cis-beta-Carotene
